country,author,url,title,timestamp,date,date_str,content,content_summary
bangladesh,Daily Excelsior,https://www.dailyexcelsior.com/india-bangladesh-ties-role-model-for-neighbourhood-mahmud/,India-Bangladesh ties role model for neighbourhood: Mahmud,"February 08, 2024, 07:25 PM",2024-02-08,8-2-2024,"India’s decision to fence its border with Myanmar will help it and the region in view of insurgency flowing from the troubled country, Bangladesh Foreign Minister Hasan Mahmud said on Thursday even as he asserted that Dhaka is firmly maintaining a policy of “zero tolerance” for terrorism.In an interactive session at a think-tank, Mahmud described 1.2 million “forcibly displaced” Rohingya refugees as a “burden” on Bangladesh and sought India’s assistance for their repatriation to Myanmar.The visiting minister said the refugees are creating environmental and security problems besides other difficulties for Bangladesh and that the Sheikh Hasina Government has been in touch with the UN High Commissioner for Refugees (UNHCR) to check the flow of refugees.To a volley of questions on the fairness of the recent parliamentary elections in Bangladesh, Mahmud said it was the most vibrant, participatory and fair polls in the country’s history.“The Indian government stood by us in holding free and fair elections as they stood by us in 1972,” he said referring to New Delhi’s historic role in the liberation of Bangladesh from Pakistan.Mahmud is on a four-day visit to India from Tuesday, in his first bilateral foreign trip since Hasina came to power for a fifth term after a landslide victory in the parliamentary elections last month.Describing the current state of relations between India and Bangladesh as a “golden chapter”, he said the two sides are now giving highest priority to three aspects — enhancing mutual trust and confidence, promoting connectivity and ensuring all round economic cooperation.“We are going through a golden chapter of our relationship. India-Bangladesh relationship is now a role model for the neighbourhood and democracy today,” he said at the Vivekananda International Foundation (VIF).The Bangladesh foreign minister said the current situation in Myanmar is worrying and called India’s decision to fence its border with that country as a good move.“Fencing the India-Myanmar border would be good for India and the region as I think there is insurgency (flowing) from Myanmar. In recent weeks, hundreds of people fled from Myanmar to India and Bangladesh. That is why the Indian Government decided to go for it (to fence the border),” he said.Last month, India announced plans to secure the 1,643-km boundary with Myanmar by erecting fences along the land border.On the Rohingya refugees in Bangladesh, Mahmud said a case has already been filed at the International Court of Justice on the matter and that Dhaka is also in touch with New Delhi.“We have been having discussions with Myanmar for the last seven years so that it takes them back with full dignity and honour. Myanmar has been saying that they would take them back but they are adopting delaying tactics,” he said.Mahmud said the current situation in Myanmar is an “obstacle” to sending back the refugees, but he hoped the crisis will be over very soon and “we will be able to send them back.”In this respect, we expect assistance and cooperation from the Indian side, he said.Myanmar has been witnessing wide-spread violent protests demanding restoration of democracy since the military seized power in the coup on February 1, 2021.Rakhine state and many other regions have reported severe fighting between armed ethnic groups and the Myanmarese military since October last year.India on Tuesday asked its citizens in Rakhine to leave the troubled-region immediately in view of deteriorating security situation.Mahmud said Bangladesh will not allow any terrorist activities on its soil.“While assuming power in 2009, Prime Minister Sheikh Hasina declared a zero tolerance policy against terrorism. She declared that our land would not be allowed for any terrorist activities to destabilise any neighbouring country or the region and we have been following that,” he said.On his talks with External Affairs Minister S Jaishankar and NSA Ajit Doval on Wednesday, Mahmud said a range of issues were discussed including that of Rohingyas, Teesta river water and security.He said defence and security cooperation between the two countries are on an upswing, adding Dhaka will make defence purchases from India.His response came when asked whether Bangladesh is contemplating procuring Light Combat Aircraft Tejas, Dhruv choppers and other military hardware.",Content Summary not found
bangladesh,Daily Excelsior,https://www.dailyexcelsior.com/saff-u-19-womens-final-india-face-gritty-bangladesh-in-summit-clash/,SAFF U-19 Women’s final: India face gritty Bangladesh in summit clash,"February 07, 2024, 06:14 PM",2024-02-07,7-2-2024,"The Indian football team will be out to break a jinx as it takes on hosts Bangladesh in the SAFF U-19 Women’s Championship final here on Thursday.   Despite improvement in women’s football, India somehow hold a dismal record in this age-group in SAFF.   The title has eluded India on more than one occasion, the latest being the SAFF U20 Women’s Championship in Dhaka last year, when Bangladesh pipped them to win the trophy.  The upcoming final will definitely be a huge opportunity for India to put past records on the burner and retain the title.   The Young Tigresses will enter the final match with a strong determination to win the championship title and set the records straight from the Indian perspective.  In the group stage, India won comfortably against Bhutan (10-0) and Nepal (4-0) but lost to Bangladesh by a solitary goal before entering the final as the second-place finishers in the group.   Apart from having a tight defence and a balanced midfield, India enjoy good attacking qualities with forwards Pooja and Sulanjana Raul and wingers Neha and Sibani Devi putting up a commendable show.  However, it will definitely not be easy to topple the hosts, who beat India in the group league earlier this week. No one knows it better than India’s head coach, Sukla Dutta.  “I’m truly not pleased that India have been losing to Bangladesh for the past three years, but tomorrow will be the time to change that. I am sure both teams will put in equal efforts, but the team who score first will likely emerge champion, as the confidence to score more will start from there,” she said ahead of the Bangladesh clash.  “I understand there will be huge support for Bangladesh, but we’ll only concentrate on our own game,” she said.  Having already played against Bangladesh in the group stage, the India head coach knows how to handle the situation.  “We know exactly how they play. But there’s no doubt they’re a good side. I have instructed my players to stay focused on their positions and prioritise man-marking.   “It’s crucial to cover the midfield more effectively because if we disrupt their ball distribution in that area, we can perform even better.”",Content Summary not found
bangladesh,Daily Excelsior,https://www.dailyexcelsior.com/2-killed-as-mortar-shells-from-myanmar-lands-in-bangladesh/,2 killed as mortar shells from Myanmar lands in Bangladesh,"February 05, 2024, 04:39 PM",2024-02-05,5-2-2024,"At least two people were killed when mortar shells from the Myanmar side landed across the border in a Bangladeshi village while 95 Burmese paramilitary border guards fled their posts and took refuge in this country in the past two days, officials said on Monday. “One of the two slain people is a Bangladeshi woman while the other is a Rohingya man. They were killed on Sunday in the Japaitali area near the border,” said Shah Mujahid Uddin, Bandarban Deputy Commissioner and Administrative Chief. The police said a 50-year-old woman was serving food to a 58-year-old ethnic Rohingya daily wage labourer when the shell hit the area, instantly killing the two. Meanwhile, Border Guard Bangladesh (BGB) officials said 27 more paramilitary Border Guard Police of Myanmar overnight crossed the border as fierce gunfights continued on the other side of the frontier between the government troops and rebel Arakan Army. “The number of BGP personnel in our (BGB) custody now stands at 95. Most of them brought their weapons along with themselves,” a BGB spokesman told reporters here. He said several of them crossed the border with bullet wounds and were being treated at different hospitals, including health facilities in Rohingya camps. Doctors have said several of them were in critical condition. Officials and residents at the bordering villages said Myanmar military helicopters continued strafing at Tombry region to support the government troops during their encounters with the rebel insurgents in the Rakhine state. Myanmar’s Rakhine state, which has a 270-kilometre border with Bangladesh, has witnessed frequent clashes since last November when the Arakan Army fighters ended a ceasefire largely enforced since a 2021 coup. Monday’s death was, however, the first such incident of casualties inside Bangladesh. Security officials called unprecedented the fleeing of the Myanmar BGP forces who abandoned their posts amid the insurgency in their land to take refuge to their BGB counterpart across the border. “Nearly a company of paramilitary troops crossed the international boundary and laid down their weapons to Bangladeshi border guards. This may have deep implications on the geopolitics of the region for which Bangladesh needs to prepare itself,” security analyst retired brigadier general Sakhawat Hossain said. Home Minister Asaduzzaman Khan on Sunday said the border guards from neighbouring Myanmar’s Rakhine state had “entered our territory for self-protection” and Bangladesh received them as a humanitarian gesture. “The BGB informed the development to their Myanmar counterparts,” a BGB spokesman said. Bangladesh’s Refugee, Relief and Repatriation (RRR) commissioner Mohammad Mizanur Rahman said the fierce conflict forced over 400 Buddhist Rakhine people to take refuge near the border but the BGB declined to allow them to enter Bangladeshi territory yet. Dhaka, on Sunday, expressed concerns as the skirmishes in its borders with Myanmar affected Bangladesh frontlines with Road Transport Minister and Awami League General Secretary Obaidul Quader seeking Chinese intervention to de-escalate the conflict because of Beijing’s close contacts with Burmese authorities. “The internal war is their (Myanmar’s) domestic concern. But when the sound of gunfights is heard at the border, naturally it creates panic in the public mind. We, therefore, expect Beijing’s intervention,” Quader told the media after he met with the Chinese envoy. The BGB asked residents to stay indoors or move cautiously as the skirmishes in southern and northern parts of Tombru, also known by the same name in Myanmar, appeared to be fiercest so far. Tombru is located in Ghungdhum union of Naikhhangchhari upazila of Bandarban district. The Arakan Army in October last year allied with two other insurgent groups and launched a joint offensive across northern Myanmar, seizing vital trade hubs on the Chinese border. The alliance last month announced a China-mediated ceasefire which, however, does not apply to areas near the Bangladesh and Indian borders. Bangladesh’s border with Myanmar stretches 271.0 kilometres, from the tri-point with India in the north to the Bay of Bengal in the south. Bangladesh played a critical role in sheltering over a million Muslim minority Rohingyas who fled their home in Rakhine and took refuge in the country to evade persecution, particularly after a 2017 army crackdown. The current crisis, however, has little to do with the Rohingyas. Bangladesh won praise for the handling of the world’s biggest refugee crisis. At the same time, Dhaka repeatedly sought their repatriation to their homeland in Rakhine saying the Rohingyas were causing economic, social, security and environmental problems. The issue is now the subject of a United Nations genocide investigation at the International Court of Justice.",Content Summary not found
bangladesh,Daily Excelsior,https://www.dailyexcelsior.com/58-myanmar-border-guards-seek-shelter-in-bangladesh-as-battle-rages-between-military-insurgents/,"58 Myanmar border guards seek shelter in Bangladesh as battle rages between military, insurgents","February 04, 2024, 03:59 PM",2024-02-04,4-2-2024,"At least 58 soldiers of Myanmar’s paramilitary Border Guard Police (BGP) escaping the junta-run country took shelter in Bangladesh amid reports of heavy gunfights between the government troops and the rebel resistance fighters, officials said here on Sunday. The soldiers entered through the Tambru border in predawn hours on Sunday and sought shelter from the Bangladesh Border Guard (BGB). “Fifty-eight BGP personnel took shelter in Bangladesh throughout the day since the predawn hours. Fourteen of them crossed the border with bullet wounds and are being treated at different hospitals, including health facilities in Rohingya camps,” said an official familiar with the development. The official, who preferred anonymity, said the paramilitary soldiers were kept under their counterpart Border Guard Bangladesh (BGB) custody in southeastern Cox’s Bazar bordering Myanmar’s Rakhine state while the weapons they carried were deposited in BGB cache. The official said many of the soldiers came to Bangladesh territory in combat uniforms and weapons while others were in their plainclothes leaving their arms back home. “The BGB informed the development to their Myanmar counterparts,” said the official. Dhaka, meanwhile, expressing concern over the skirmishes in its border areas with Myanmar, said the violence was affecting Bangladesh’s frontlines. Road Transport Minister and Awami League General Secretary Obaidul Quader sought Chinese intervention to de-escalate the conflict given Beijing’s close contacts with Burmese authorities. “The internal war is their (Myanmar’s) domestic concern. But when the sound of gunfights is heard at the border, naturally it creates panic in the public mind. We, therefore, expect Beijing’s intervention,” Quader told the media after he met with the Chinese envoy. Officials earlier said 14 BGP personnel crossed the border in predawn hours through the Ghumdhum border while a BGB spokesman in Dhaka thereafter asked journalists to await a media briefing on the development. No official briefing was however done until Sunday evening. District administration of Bandarban, where the troubled frontier is located, closed five schools for security reasons fearing mortar shells or stray bullets will slide into the Bangladesh territory as the gunfights are underway on the other side of the border. The BGB asked residents to stay indoors or move cautiously. Officials said reports from the other side of the border suggested army helicopters were strafing on rebel fighters, escalating concerns of massive casualties. Residents in frontier villages, including local Union Parishad members, said sounds of gunfights on the Myanmar side of the border on Saturday night and Sunday panicked residents in villages in the frontier. A BSS report said the skirmishes between the government troops and the rebel Arakan Army frightened residents in several frontier Bangladesh villages as many mortar shells and bullets landed at the Bangladeshi side in the past few days though no casualty was reported so far. “In two such latest incidents on Saturday night a bullet smashed the windshield of a battery-run three-wheeler and a mortar shell hit a village house at Tombru area of Ghumdhum but no one was wounded,” a member of the local union council, the lowest local government-tier, told reporters. Bangladesh earlier ordered an extra security vigil on the border with Myanmar given the gunfights between the military and the insurgent Arakan Army, which is active in the bordering Rakhine region of the country. International media reports suggested several more insurgent groups, some forming alliances among themselves, are confronting the military in several parts of Myanmar. According to reports and analysts, the resistance movement in Myanmar gained momentum three years after a coup ended a short-lived experiment with democracy. Bangladesh’s border with Myanmar stretches 271.0 kilometres (168.4 miles) from the tri-point with India in the north to the Bay of Bengal in the south. Bangladesh played a critical role in sheltering over a million Muslim minority Rohingyas who fled their home in Rakhine and took refuge in Bangladesh to evade persecution, particularly after a 2017 army crackdown but the current crisis has little to do with the Rohingyas. Bangladesh won praises for the handling of the world’s biggest refugee crisis while Dhaka repeatedly sought their repatriation to their homeland in Rakhine saying the Rohingyas were causing economic, social, security and environmental problems. The issue is now the subject of a United Nations genocide investigation at the International Court of Justice.",Content Summary not found
bangladesh,Daily Excelsior,https://www.dailyexcelsior.com/3-bangladeshi-women-held/,3 Bangladeshi  women held,"February 02, 2024, 07:06 PM",2024-02-02,2-2-2024,"Three Bangladeshi women were arrested from Trikuta Nagar area here today, officials said.They said Sufaira Begum wife of Zaffar Alam, Rifa Muneer daughter of Hyder Ali, and Rumena daughter of Mohammad Syed were staying as Rohingya refugees in Trikuta Nagar locality.On getting information about the trio, intelligence agencies raided the suspected location and detained them for questioning, officials said.According to them (officials), Sufaira Begum is married to one Zaffar Alam of Bathindi, Jammu, and she was taking the other two women to sell them in Kashmir.After interrogation, the agencies have handed over the detained women to Trikuta Nagar Police Station for further investigation into the issue.",Content Summary not found
bangladesh,Daily Excelsior,https://www.dailyexcelsior.com/bangladeshi-nobel-laureate-yunus-charge-sheeted-in-fresh-corruption-case/,Bangladeshi Nobel laureate Yunus charge-sheeted in fresh corruption case,"February 01, 2024, 04:34 PM",2024-02-01,1-2-2024,"Bangladesh’s anti-graft agency on Thursday submitted a charge sheet against Nobel Laureate economist Dr Muhammad Yunus on a fresh corruption charge, days after a court granted him bail in a case for violating labour laws. The Anti-Corruption Commission (ACC) accused the 83-year-old economist and 13 others of misappropriating around Tk 25.22 crore (approximately USD 2.29 million) of Grameen Telecom Workers’ Profit Participation Fund. Yunus is the chairman of Grameen Telecom –which he founded as a non-profit organisation– while the co-defendants include its directors, managing director and employees’ trade union leaders. “We have filed the charge sheet against him (Yunus) and 13 others before the Metropolitan Senior Special Judge’s Court of Dhaka,” an ACC spokesman told reporters. The court has set March 3 for an indictment hearing of the case. Law Minister Anisul Huq rejected allegations of harassing Yunus, saying the government did not fabricate any false cases against him. “Dr Yunus was warned and advised to prevent these violations, but he ignored them. So, the Labour Department filed a lawsuit,” Huq said. “No one is above the law, and if someone commits a crime, they must face the law,” the minister said. Earlier, ACC Secretary Mahmub Hossain said the proceedings against Yunus were initiated based on complaints against him by the Department of Inspection for Factories and Establishments, and the statutory graft agency filed the charge sheet after a long investigation. Yunus won the Nobel Peace Prize in 2006 for his anti-poverty campaign, earning Bangladesh the reputation of being the home of microcredit through his Grameen Bank, which he founded in 1983. He faces over 150 other cases, including major corruption charges that could see him jailed for years if found guilty. The economist denies all wrongdoing. Last week, an appeals court granted bail to Yunus, who was sentenced on January 1 to six months in prison for violating the country’s labour laws. The court also agreed to hear an appeal against his sentencing. Thursday’s development came days after more than 241 global leaders, including over 125 Nobel laureates, expressed their concerns over the “continuous judicial harassment and potential jailing” of Yunus in a third open letter to Prime Minister Sheikh Hasina. Irene Khan, the UN Special Rapporteur for the Promotion and Protection of the Right to Freedom of Opinion and Expression, called the January 1 verdict “a travesty of justice”. Khan said the social activist “who brought honour and pride to the country is being persecuted on frivolous grounds.” “We agree with Irene Khan,” said a letter signed by global leaders, including former US President Barack Obama. The letter said that the verdict was the outcome of “the rushed legal process and lack of consistency about how Bangladesh’s laws are applied.” Former UN Secretary-General Ban Ki-moon also reacted to the verdict. “Bangladeshis deserve a government that honours and supports — rather than persecutes — its most esteemed citizens,” he said. “I call on the prime minister (Sheikh Hasina) to stop this senseless campaign against Professor Muhammad Yunus now,” he said. Hasina’s Awami League party won a record fourth consecutive term in the general election held on January 7. International rights groups, including Amnesty International, also condemned the verdict while several leading Bangladeshi civil society figures said Yunus was exposed to legal “harassment”. In response to the global leaders’ previous letter, Hasina recently told a news conference that the signatories “should send experts, including lawyers, to go through all the documents of Professor Yunus and his cases to see if there is any wrongdoing or wrongful prosecution.” The global leaders agreed to her proposal in their third letter, published as a full-page advertisement in the Washington Post on Monday. “We accept your invitation . . . (But) this examination should include not only the labour law case whose verdict was delivered on January 1, but also the investigation being conducted by the Anti-Corruption Commission,” read the letter. The previous two letters were issued in March 2023 and August 2023. The prominent economist was in a protracted row with the incumbent government due to obscure reasons.  The government led by Hasina launched a series of investigations against him after coming to power in 2008. Many people believe that Hasina became enraged when Yunus announced he would form a political party in 2007 when the country was run by a military-backed government and she was in prison. However, Yunus did not follow through on the plan but criticised politicians in the country, alleging they were only interested in making money.",Content Summary not found
